,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
86,5033,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.612992908,0.656389393,0.715371128,0.735515516,0.74325167,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Crawford,Arkansas
87,5045,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.549527656,0.586436243,0.615896452,0.644524843,0.617459549,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Faulkner,Arkansas
88,5047,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.533713355,0.573604061,0.681235521,0.708103976,0.744313146,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Franklin,Arkansas
89,5049,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.495618306,0.508980827,0.577844311,0.652145069,0.72736798,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Fulton,Arkansas
90,5051,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.53145958,0.541266125,0.613577621,0.638725201,0.639308908,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Garland,Arkansas
91,5053,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.546316315,0.6211226,0.739437656,0.74533107,0.768972465,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Grant,Arkansas
92,5061,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.521641624,0.553510014,0.610193974,0.648139848,0.675438596,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Howard,Arkansas
93,5063,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.530015525,0.571055261,0.67119278,0.7040413,0.729836933,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Independence,Arkansas
94,5071,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.510682866,0.535927399,0.601711491,0.62533959,0.668459175,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Johnson,Arkansas
95,5083,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.554224308,0.593614782,0.676615657,0.692811349,0.725413458,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Logan,Arkansas
96,5085,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.59109402,0.653563323,0.726254159,0.74147798,0.736457565,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Lonoke,Arkansas
97,5087,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.601812367,0.606672932,0.627686473,0.649056029,0.72036252,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Madison,Arkansas
